編碼,客家語,客語音標,華語詞義/例句,翻譯,備註,詞性1,詞性2,分類
1-141,昏去,funˇ kui^,"沒了氣息，但不一定死亡，亦有昏去的意思。
例如：成擺人㓾雞鴨，愛等佢歸下昏去，正會用熝滾水。
例如：阿日哥做个係粗事，逐日轉來強強就會昏去。","以前人殺雞鴨，要等牠完全沒了氣息，才可以燙熱水。
阿日哥做的是粗重的工作，每天回家就一副快死了的樣子。",,動詞,,1人體與醫療
1-142,聲胲,shangˇ goiˇ,聲音、嗓音的大小。例如「佢个聲胲真大」。,他的嗓門很大。,,名詞,,1人體與醫療
1-143,擤濞,sen^ pinn,"擤鼻涕。
例如：佢寒着，擤濞擤無歇。",他感冒，擤鼻涕擤個不停。,,動詞,,1人體與醫療
1-144,屎胐䫌,shi^ fudˊ pe^ ,"臀部。
例如：阿依降子了後屎胐䫌變大，褲尖毋會落啊！",媽媽生產過後屁股變大，褲子擠不下了！,,名詞,,1人體與醫療
1-145,食嗽,shiedˋ seu^,"吃了可以治療咳嗽。
例如：這藥食嗽，毋會苦，你會用試䀴望。",這藥治咳嗽，不會苦，你可以試試看。,,動詞,,1人體與醫療
1-146,食腳疾个,shiedˋ giooˊ cidˋ eˇ,"治療腳痛的藥（食用）。而相同句型為「食嗽个」則為「治療咳嗽的藥」。
例如：這係食腳疾个，這係食嗽个，你即毋好提毋著來食哦！",這是治療腳痛的藥，這是治咳嗽的，你可別拿錯了吃喲！,,動詞,,1人體與醫療
1-147,腰子,rhiooˇ zu^,"腎臟。
例如：聽人講，腰子無勇个人較會腰痠背疾。",聽人說，腎臟功能虛弱的人比較容易腰痠背痛。,,名詞,,1人體與醫療
1-148,上截,shong ziedˊ,"上截，指手臂或腿的上半部，即上臂或大腿部位。「下想」則為「下截」，指手臂或腿的下半部，即下臂或小腿部位。
例如：擎啞鈴會用鍛鍊上截个肌肉。",舉啞鈴可以鍛鍊上臂的肌肉。,,名詞,,1人體與醫療
1-149,手脛,shiu^ guang^,"下臂，指手掌至手肘的那一段。「腳脛」則指腳掌至膝蓋的那一段。
例如：佢瘦夾夾，手脛恁幼，一捏即會斷个樣。",他瘦巴巴的，下臂這麼細，一捏就會斷的樣子。,,名詞,,1人體與醫療
1-150,瘸手跛腳,kuiˋ shiu^ bai^ giooˊ,"形容手腳不健全，行動不便的樣子。
例如：佢無瘸手跛腳，嘛毋會青瞑耳聾，仰子會去做乞食？",他沒有四肢不健全，也不會眼盲耳聾，怎麼會去當乞丐？,,形容詞,,1人體與醫療
1-151,虎口,fu^ keu^,"手掌的虎口處。
例如：包菜包遐下，會使用虎口攝一條錐錐个線。",包菜包的時候，可以用手掌虎口處捏一條尖尖突出的線。,,名詞,,1人體與醫療
1-152,手指縫,shiu^ zhiˆ pung,"手指間之縫隙。
例如：湖鰍真會鑽，䀴都捉着啊，擱對手指縫滑走啊。",泥鰍很會鑽，眼看抓到了，又從指縫溜走了。,,名詞,,1人體與醫療
1-153,水藥,fi^ rhioo,"用水煎煮的中藥。
例如：今這滿个漢醫大體攏開號做科學中藥个藥粉，較少合水藥喊人自家轉去熬啊。",現在的中醫大多開叫做科學中藥的藥粉，比較少配湯藥讓人自己回家煮了。,,名詞,,1人體與醫療
1-154,雙下𪘒,sungˇ haˇ ngamˇ,"雙下巴。
例如：佢這站較福相，一笑起來雙下𪘒即䀴現現。",他最近比較福態，一笑起來雙下巴就明顯可見。,,名詞,,1人體與醫療
1-155,雙目皮,sungˇ hmˊ piˋ,"雙眼皮。
例如：佢係雙目皮，目珠真大蕊。",他是雙眼皮，眼睛很大。,,名詞,,1人體與醫療
1-156,大嫲聲,tai maˋ shangˇ,"很大聲。
例如：隔壁講事大嫲聲，驚人聽毋會着遐樣。",隔壁講話很大聲，怕別人聽不到一樣。,,形容詞,,1人體與醫療
1-157,大聲胲（大聲喉）,tai shangˇ goiˇ (tai shangˇ heuˋ),"大嗓門。
例如：外媽个大聲胲，遠遠即聽會着。",外婆的大嗓門，遠遠都聽得到。,,形容詞,,1人體與醫療
1-158,聽無真,tenˇ moˋ zhinˇ,"聽不清楚。
例如：你事講傷細聲，𠊎聽無真。",你話說得太小聲，我聽不清楚。,,動詞,,1人體與醫療
1-159,拖命,tooˇ miang,"接近死亡而未死，勉強維持生命。
例如：中風恁多年，搵在眠床崠毋會停動，單單拖命定。",中風這麼多年，臥床不能動，僅僅勉強維持生命而已。,,動詞,,1人體與醫療
1-160,退癀,toi^ fongˋ,"消炎。
例如：這藥膏真有效，抹幾下擺即退癀啊。",這藥膏很有效，擦個幾次就消炎了。,,動詞,,1人體與醫療
1-161,推推个,tuiˇ tuiˇ eˇ,"將傷部搓揉搓揉一番；抓來修理一番。
例如：頸根感覺硬硬，去得人推推个會較快活。
例如：佢真番，得厥爸推推个過後，有較乖。","脖子感覺到僵硬，去讓人推拿一下會比較舒服。
他很頑皮，被他爸修理過後，有比較乖。",,動詞,,1人體與醫療
1-162,此腔無此詞條,,,,,,,
1-163,糟糟,zooˇ zooˇ,"腸胃中缺乏油脂想吃肉的感覺。
例如：李酸合澀，食了胃糟糟。",李子酸又澀，吃了胃中缺乏油脂想吃肉。,,形容詞,,1人體與醫療
1-164,禾鐮鐵,bbooˋ liamˋ teedˊ,"胰臟。
例如：真多人毋知，禾鐮鐵嘛係一種消化器官。",很多人不知道，胰臟也是一種消化器官。,,名詞,,1人體與醫療
1-165,烏蠅屎,bbuˇ rhinˋ shi^,"指臉上的雀斑。
例如：行偎一䀴，佢个面面上真經有真多烏蠅屎。",走近一看，他的臉上真的有很多雀斑。,,名詞,,1人體與醫療
1-166,烏青,bbuˇ ciangˇ,"瘀青。
例如：你在哪位𢼛着？𢼛到烏青烏青。
例如：𠊎个腳面上遐位烏青，恁多日啊猶毋得消退。","你在哪撞到？撞得青一塊紫一塊。
我的腳上那塊瘀青，這麼多天了還不得消退。",形容詞,名詞,,1人體與醫療
1-167,扭着,ngiu^ choo,"扭傷。
例如：佢昨日打拳，無堵好扭着，驚講幾下日毋得去哦。",他昨天打拳，不小心扭傷，恐怕好幾天不能去了。,,動詞,,1人體與醫療
1-168,落屎,lau^ shi^,"拉肚子。
例如：𠊎驚係食着無萋个物件，直直落屎。",我恐怕是吃到不新鮮的東西，一直拉肚子。,,動詞,,1人體與醫療
1-169,楔牙縫,siabˋ ngaˋ pung,"塞牙縫。
例如：雞肉真好食，毋過嘛真會楔牙縫。
例如：食恁多定，無搭無喢，毋罅楔牙縫。","雞肉很好吃，不過也很會塞牙縫。
吃那麼一點點而已，沒意思，不夠塞牙縫。",,動詞,,1人體與醫療
1-170,吹着風（感着風）,cheˇ choo fungˇ (gam^ choo fungˇ),"受到風寒。
例如：妹子人做月頭驚吹着風。",女人坐月子最怕受到風寒。,,動詞,,1人體與醫療
1-171,胸脯（心肝前）,hiungˇ pu^ (simˇ gonˇ cienˋ),"胸前。
例如：遐個細子，伏到厥依个胸脯睡，睡到牽大斂。",那個小孩，趴在他母親的胸前睡覺，睡到打呼。,,名詞,,1人體與醫療
1-172,心肝頭,simˇ gonˇ teuˋ,"胸中或心裡。
例如：佮佢冤家了後，𠊎心肝頭拶拶，真無快活。",和他吵架過後，我心裡鬱悶，很不舒服。,,名詞,,1人體與醫療
1-173,鑲牙補齒,siongˇ ngaˋ bu^ chi^,"鑲牙補齒。
例如：現代牙科毋單拁人鑲牙補齒，猶有真多種醫療服務。",現代牙科不只幫人鑲牙補齒，還有很多種醫療服務。,,動詞,,1人體與醫療
1-174,搐搐彈,diuˊ diuˊ tan,"形容一陣一陣抽痛的樣子。
例如：寒天來啊，阿媽个腳膝頭又會搐搐彈，疾到睡毋會去。",冬天來了，奶奶的膝蓋又會隱隱抽痛，痛得無法入睡。,「咻」，暫用字,形容詞,,1人體與醫療
1-175,勇身,rhung^ shinˇ,"身體健壯。
例如：佢䀴起來猶恁勇身，無想着恁緊就走啊。",他看起來還很健壯，沒想到這麼快就去世了。,,形容詞,,1人體與醫療
1-176,照電光,zhioo^ teen gongˇ,"照X光。
例如：佢得車碰着，愛去照電光。",他被車子撞到，要去照X光。,,動詞,,1人體與醫療
1-177,診所,zhin^ su^,"診所。
例如：你直直咳嗽，猶毋去診所提藥食！",你一直咳嗽，還不去診所拿藥吃！,,名詞,,1人體與醫療
1-178,刮痧,guadˊ saˇ,"刮痧，替中暑或感冒的人刮經絡。
例如：熱着頭那暈，得人刮痧過後會較快活。",中暑頭暈，讓人刮痧之後會比較舒服。,,動詞,,1人體與醫療
1-179,嘴包,zhe^ bauˇ,"口腔內部兩側。
例如：佢毋知食着麼个，嘴包爛去啊。",他不知道吃到什麼，口腔內部兩側破了。,,名詞,,1人體與醫療
1-180,嘴歪歪,zhe^ uainnˇ uainnˇ,"嘴歪歪的。
例如：佢識中風過，所以正會嘴歪歪。",他曾經中風過，所以才會嘴巴歪斜。,,形容詞,,1人體與醫療
1-181,蛀牙,zhi^ ngaˋ,"蛀牙。
例如：食過物件愛盪嘴，正毋會蛀牙。",吃完東西要清潔口腔，才不會蛀牙。,,動詞,,1人體與醫療
1-182,種牙齒,zhung^ ngaˋ chi^ ,"植牙。
例如：這下人種牙齒，一支即愛歸十萬銀。",現在人植牙，一支就要上十萬元。,,動詞,,1人體與醫療
1-183,斷乳,tonˇ neenˇ,"斷奶。
例如：狗么吂斷乳，不時都跈着狗嫲搶乳食。",小狗還沒斷奶，無時無刻都黏著母狗搶奶喝。,,動詞,,1人體與醫療
1-184,氣脈,ki^ maˊ,"氣力、精力，一般多指生命的延續力。
例如：遐個人得水浸着，聽講吂送到病院即測無氣脈啊。
例如：仰子講佢都毋會醒，𠊎無恁大氣脈佮佢詏。","那人溺水，聽說還沒送到醫院就測量不到生命跡象了。
再怎麼說他都不會清醒，我沒有這麼大的氣力跟他爭辯。",,名詞,,1人體與醫療
1-185,此腔無此詞條,,,,,,,
1-186,大舌,tai sheedˋ,口吃。,,,形容詞,,1人體與醫療
1-187,起牙包,ki^ ngaˋ bauˇ,牙齦長膿包。,,,動詞,,1人體與醫療
1-188,食涼,shiedˋ liongˋ,吃了可以消暑退火。,,,動詞,,1人體與醫療
1-189,此腔無此詞條,,,,,,,
2-1,氣死,ki^ si^,"氣死。
例如：佢得頭家在大家面頭前按喝，又毋會用罵倒轉，忍在心肝底會氣死。",他被老闆在大家面前這樣斥責，又不能罵回去，忍在心中會氣死。,,動詞,,2心理活動與感覺
2-2,唉唉哳哳,aiˇ aiˇ zabˋ zabˋ/aiˇ aiˇ zibˊ zibˊ,"怨歎連連的樣子。
例如：停動着就唉唉哳哳个人，討仰子做大事？",動不動就怨歎連連的人，要怎樣做大事？,,動詞,,2心理活動與感覺
2-3,半生死,ban^ sangˇ si^,"要死不活；剩下半條命。
例如：佢做到半生死，錢又得人惑淨淨，實在衰到毋會講个！",他做得要死不活，錢又被人騙光光，實在倒楣透頂！,,形容詞,,2心理活動與感覺
2-4,蹦蹦跳,bong^ bong^ teeu^,"跳腳，氣急敗壞的樣子。同義詞有「蹦飆」。
例如：佢聽着這兜傷人个事，氣到蹦蹦跳。",他聽到這些傷人的話，氣得跳腳。,,動詞,,2心理活動與感覺
2-5,起戇神,ki^ ngongˇ shinˋ,"發呆、發楞。
例如：較緊去赴上班，莫在遐起戇神。",快點趕去上班，不要在那裡發呆。,,形容詞,,2心理活動與感覺
2-6,戇丁戇丁,ngongˇ denˇ ngongˇ denˇ,"呆癡、愚痴。亦可說「痴痴呆呆」。
例如：你莫挑持挶到戇丁戇丁，麼个攏毋知个樣。",你別故意裝愚痴，什麼都不知道的樣子。,,形容詞,,2心理活動與感覺
2-7,爽快,song^ kuai^,"身心舒服快樂。
例如：論文總算寫通過啊，實在爽快。",論文總算寫完通過了，真是身心舒服快樂。,,動詞,,2心理活動與感覺
2-8,抽筋縮脈,chiuˇ gunˇ sooˊ maˊ,"痛苦萬分狀。原指抽除筋絡緊縮血脈，表痛苦至極。
例如：痛風擎起來，抽筋縮脈，疾到拄毋會核。　",痛風發作，痛苦萬分，痛得受不了。,,形容詞,,2心理活動與感覺
2-9,沉沉,dimˋ dimˋ,"感到笨重的樣子。
例如：無食荏荏，食飽又沉沉。",沒吃東西沒精神，吃飽了又覺得身體笨重。,,動詞,,2心理活動與感覺
2-10,知足,diˇ ziuˊ,"知足。
例如：人愛知足正會快樂。",人要知足才會快樂。,,形容詞,,2心理活動與感覺
2-11,番番倒倒,fanˇ fanˇ doo^ doo^,"神智不甚清醒貌。
例如：佢食酒醉啊，講事番番倒倒，聽都聽毋識。",他喝醉了，說話顛三倒四，聽都聽不懂。,,動詞,,2心理活動與感覺
2-12,足酸,ziuˊ sonˇ,形容食物的味道極酸。,,,動詞,,2心理活動與感覺
2-13,足苦,ziuˊ ku^,"形容食物的味道極苦。亦可說「苦丟丟」。
例如：苦瓜足苦，真多細子毋敢食。",苦瓜非常苦，很多小孩子不敢吃。,,名詞,,2心理活動與感覺
2-14,起性（起癖）,ki^ sin^ (ki^ piaˊ),"指人使性子、發牛脾氣。
例如：佢若係起性起來，麼儕个事都毋聽。",他要是發起牛脾氣，什麼人的話都不聽。,,形容詞,,2心理活動與感覺
2-15,反心,fan^ simˇ,"改變心意、反悔。
例如：見擺大家講好个事情，佢毋係反心就係毋承認。",每次大家講好的事情，他不是反悔就是不承認。,,形容詞,,2心理活動與感覺
2-16,火氣,foo^ ki^,"怒氣；中醫裡講的火氣。
例如：做麼个火氣恁大？麼儕惹着你係無？
例如：佢前一駁子火氣大直直爛嘴，到今猶吂好。","幹嘛火氣這麼大？誰惹到你是嗎？
他前一陣子火氣大嘴巴一直破洞，到現在還沒好。",,動詞,,2心理活動與感覺
2-17,此腔無此詞條,,,,,,,
2-18,甘,gamˇ,"甘甜的味道。亦可說「甘甘」，強調甘的滋味。
例如：這茶啉了嘴尾會甘，有影係好茶。",這茶喝了尾韻甘甜，果真是好茶。,,形容詞,,2心理活動與感覺
2-19,浹嘴,giabˊ zhe^,"嘴巴有澀而沾黏的感覺。
例如：這弓蕉猶青青，食起來會浹嘴。",這香蕉還綠綠的，吃起來嘴巴會有澀澀黏黏的感覺。,,虛詞,,2心理活動與感覺
2-20,驚到會死,giangˇ doo^ bbue si^,"怕得要命。
例如：講着地動，大家驚到會死。",講到地震，大家怕得要命。,,動詞,,2心理活動與感覺
2-21,驚驚險險,giangˇ giangˇ hiam^ hiam^,"感到驚險可怕的樣子。
例如：這座渡橋又高又長，行過去个人逐儕攏驚驚險險，拚一身大汗。",這座吊橋又高又長，走過去的人個個都感到驚險可怕的樣子，出了一身汗。,,形容詞,,2心理活動與感覺
2-22,嘐嘐咈,giau^ giau^ bui^,"形容抱怨或不滿的聲音，多用於罵人。
例如：百貨起價，就薪水無起，食月俸个人嘐嘐咈。",各種貨品漲價，就薪水沒漲，領月薪的人怨聲載道。,,形容詞,,2心理活動與感覺
2-23,過願,goo^ ngien^,"過癮。
例如：好䀴个戲，無䀴三遍毋會過願。",好看的戲，沒看三遍不會過癮。,,動詞,,2心理活動與感覺
2-24,鹹丟丟（鹹篤篤）,heemˋ diuˇ diuˇ(heemˋ duˊ duˊ),"形容味道很鹹。
例如：鹹魚鹹丟丟，傍飯毋好傍恁大垤。",鹹魚味道很鹹，配飯別配這麼大塊。,,形容詞,,2心理活動與感覺
2-25,興趣趣,hin^ ci^ ci^,"興沖沖的樣子。
例如：阿哥一聽着賞水就興趣趣，捎討去。
例如：細子人一學會騎鐵馬，就興趣趣密密愛去騎。","哥哥一聽到玩水就興沖沖的，追著要去。
小孩一學會騎腳踏車，就興沖沖的頻頻要去騎。",,動詞,,2心理活動與感覺
2-26,起牛面,ki^ ngiuˋ mien^,"發牛脾氣。
例如：講人毋會贏，嗄在遐起牛面，真見笑。",跟人講理輸了，卻在那發牛脾氣，真丟臉。,,動詞,,2心理活動與感覺
2-27,起戇面,ki^ ngongˇ mien^,"生氣、翻臉。
例如：佢心情無好，你毋好惹佢，等一下佢起戇面你就知啊！",他心情不好，你別惹他，等一下他翻臉你就知道了！,,形容詞,,2心理活動與感覺
2-28,翕熱,hibˊ ngiedˋ ,"悶熱。
例如：今日个日頭真猛，又無半點風，感覺翕熱。",今天的太陽很大，又沒半點風，感覺悶熱。,,副詞,,2心理活動與感覺
2-29,梟心,hiauˇ simˇ,"心存非分。
例如：做人毋好有梟心，正會得人歡迎。",做人別心存非分，才會受人歡迎。,,形容詞,,2心理活動與感覺
2-30,毋會堪,mˇ moi kamˇ,"不值得；承受不了。
例如：遐即毋會堪半角銀个物件，仰子愛恁計較。
例如：毋好恁拚命个做哦，你个身體即係會毋會堪。","那是值不了半點錢的東西，哪需要這麼計較。
別那麼拼死的做喔，你的身體可是會受不了。",,動詞,,2心理活動與感覺
2-31,企坐毋會核,kiˇ cooˇ mˇ moi hedˋ,"坐立難安。
例如：清海嫂聽着阿女討降啊，企坐毋會核，攔緊捎到病院去。",清海嫂聽到女兒即將臨盆了，坐立難安，趕快跑到醫院去。,,動詞,,2心理活動與感覺
2-32,虔誠,kienˋ shinˋ,"虔誠。
例如：求神拜佛，定著愛虔誠。",求神拜佛，一定要虔誠。,,形容詞,,2心理活動與感覺
2-33,䀴無,ngiang^ moˋ,"看不見、看不懂；瞧不起。
例如：你整理个資料，大家䀴無，拁大家說明一下好無？
例如：你即愛較拚兜，正毋會得人䀴無。","你整理的資料，大家看不懂，跟大家說明一下好嗎？
你可要努力一點，才不會讓人看不起。",,動詞,,2心理活動與感覺
2-34,䀴戇去,ngiang^ ngongˇ kui^,"看到出神，呆若木雞。
例如：䀴戲䀴戇去，猶會跈做戲个唩。",看戲看得出神了，還會跟著演戲的哭。,,動詞,,2心理活動與感覺
2-35,寬心,kuanˇ simˇ,"寬心。
例如：䀴著佢平安轉來，大家即寬心啊！",看到他平安回來，大家就寬心了！,,形容詞,,2心理活動與感覺
2-36,放勢,biong^ she^,"盡情的。
例如：今日做到真悿，韶日放假，會用放勢睡。",今天做得好累，明天放假，可以盡情的睡。,,形容詞,,2心理活動與感覺
2-37,罅啊,la aˇ,"夠了。
例如：共件事情你做麼个愛講恁多擺，鬥底罅啊吂？",同一件事情你幹嘛要說這麼多次，到底夠了沒？,,動詞,,2心理活動與感覺
